股票代码,形态,买入日期,买入价,股数,买入金额,卖出日期,卖出价,卖出原因,盈亏,收益率
300142.SZ,黑三鸦,2025-01-07,11.69,800,9352.00,2025-01-13,10.87,止损(7.0%),-654.64,-7.00%
600536.SH,黑三鸦,2025-01-07,42.00,200,8400.00,2025-01-14,46.20,止盈(10.0%),840.00,10.00%
600732.SH,黑三鸦,2025-01-07,10.13,900,9117.00,2025-01-15,11.14,止盈(10.0%),911.70,10.00%
300274.SZ,黑三鸦,2025-01-07,71.10,100,7110.00,2025-01-20,78.21,止盈(10.0%),711.00,10.00%
600963.SH,黑三鸦,2025-01-07,4.65,2100,9765.00,2025-01-20,5.12,止盈(10.0%),976.50,10.00%
000039.SZ,黑三鸦,2025-01-07,7.52,1300,9776.00,2025-01-21,7.59,持仓10天到期,91.00,0.93%
000623.SZ,黑三鸦,2025-01-07,16.54,600,9924.00,2025-01-21,16.40,持仓10天到期,-84.00,-0.85%
000661.SZ,黑三鸦,2025-01-07,95.90,100,9590.00,2025-01-21,93.70,持仓10天到期,-220.00,-2.29%
000733.SZ,黑三鸦,2025-01-07,38.74,200,7748.00,2025-01-21,41.72,持仓10天到期,596.00,7.69%
002129.SZ,黑三鸦,2025-01-07,8.45,1100,9295.00,2025-01-21,8.65,持仓10天到期,220.00,2.37%
002466.SZ,黑三鸦,2025-01-07,32.10,300,9630.00,2025-01-21,32.15,持仓10天到期,15.00,0.16%
002511.SZ,黑三鸦,2025-01-07,6.62,1500,9930.00,2025-01-21,6.60,持仓10天到期,-30.00,-0.30%
002555.SZ,黑三鸦,2025-01-07,14.58,600,8748.00,2025-01-21,14.88,持仓10天到期,180.00,2.06%
300450.SZ,黑三鸦,2025-01-07,18.43,500,9215.00,2025-01-21,19.44,持仓10天到期,505.00,5.48%
600030.SH,黑三鸦,2025-01-07,27.10,300,8130.00,2025-01-21,27.42,持仓10天到期,96.00,1.18%
600031.SH,黑三鸦,2025-01-07,15.59,600,9354.00,2025-01-21,16.21,持仓10天到期,372.00,3.98%
600109.SH,黑三鸦,2025-01-07,8.19,1200,9828.00,2025-01-21,8.29,持仓10天到期,120.00,1.22%
600111.SH,黑三鸦,2025-01-07,20.99,400,8396.00,2025-01-21,21.16,持仓10天到期,68.00,0.81%
600276.SH,黑三鸦,2025-01-07,45.05,200,9010.00,2025-01-21,45.13,持仓10天到期,16.00,0.18%
600390.SH,黑三鸦,2025-01-07,6.03,1600,9648.00,2025-01-21,6.03,持仓10天到期,0.00,0.00%
600867.SH,黑三鸦,2025-01-07,7.83,1200,9396.00,2025-01-21,7.77,持仓10天到期,-72.00,-0.77%
601012.SH,黑三鸦,2025-01-07,15.05,600,9030.00,2025-01-21,14.80,持仓10天到期,-150.00,-1.66%
601066.SH,黑三鸦,2025-01-07,24.00,400,9600.00,2025-01-21,24.22,持仓10天到期,88.00,0.92%
601555.SH,黑三鸦,2025-01-07,7.46,1300,9698.00,2025-01-21,7.54,持仓10天到期,104.00,1.07%
601688.SH,黑三鸦,2025-01-07,16.64,600,9984.00,2025-01-21,16.93,持仓10天到期,174.00,1.74%
601868.SH,黑三鸦,2025-01-07,2.20,4500,9900.00,2025-01-21,2.23,持仓10天到期,135.00,1.36%
601878.SH,黑三鸦,2025-01-07,11.44,800,9152.00,2025-01-21,11.44,持仓10天到期,0.00,0.00%
601881.SH,黑三鸦,2025-01-07,13.62,700,9534.00,2025-01-21,13.88,持仓10天到期,182.00,1.91%
601901.SH,黑三鸦,2025-01-07,7.75,1200,9300.00,2025-01-21,7.89,持仓10天到期,168.00,1.81%
601995.SH,黑三鸦,2025-01-07,31.40,300,9420.00,2025-01-21,31.72,持仓10天到期,96.00,1.02%
000061.SZ,黑三鸦,2025-01-14,6.50,1500,9750.00,2025-02-05,6.74,持仓10天到期,360.00,3.69%
000623.SZ,黑三鸦,2025-01-14,15.91,600,9546.00,2025-02-05,16.47,持仓10天到期,336.00,3.52%
601888.SH,黑三鸦,2025-01-14,60.20,100,6020.00,2025-02-05,60.22,持仓10天到期,2.00,0.03%
300347.SZ,黑三鸦,2025-01-27,48.50,200,9700.00,2025-02-10,53.35,止盈(10.0%),970.00,10.00%
600606.SH,黑三鸦,2025-02-07,1.85,5400,9990.00,2025-02-13,2.04,止盈(10.0%),999.00,10.00%
688223.SH,黑三鸦,2025-01-23,6.23,1600,9968.00,2025-02-14,6.35,持仓10天到期,192.00,1.93%
688599.SH,黑三鸦,2025-01-23,17.41,500,8705.00,2025-02-14,17.74,持仓10天到期,165.00,1.90%
000983.SZ,黑三鸦,2025-02-14,7.18,1300,9334.00,2025-02-28,6.92,持仓10天到期,-338.00,-3.62%
601088.SH,黑三鸦,2025-02-21,36.17,200,7234.00,2025-03-07,35.89,持仓10天到期,-56.00,-0.77%
